"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
1992,69478,65181,2056289,15023317,26493629,7718036,3072011,3378331,59722,10016659,49954,33966849,17418927,7914969,8977,538020,264604,1344726,58696,10045622,253558,115750938,200824,4129131,6893451,41791151,5010143,10227558,342040,154460821,601655,8658506,265759,5856492,28544892,10142764,6263272,17202861,2410397,41846148,1177535611,13489083,28675,12574747,450727,34520324,49211,3168359,3266519,10681284,356492,18581,788474,5171393,547085,70278,7362934,10553806,56624987,3557761,392024,1528715,3087294,5286006,51205192,10315702,5041039,752740,114694,47780,206825,58954114,1033734,986367,5355289,16233043,28091,94648,61260,55490,80597764,142326,10325429,9367079,6800519,767295,2107306,7069974,5829696,5079876,4494013,10383053,259012,187915917,70520,870113186,62310075,4822463,56908936,13422141,17868275,124378689,84428,2377845,3870910,25039576,4592059,21181939,73625,43837115,1402721,1932203,16964630,4454183,3548032,2615869,3700278,1893883,5302888,29714,1761713,392552,4310510,12356680,375327,4382308,2317954,10495,10309597,621621,1889358,8902986,30346,24861078,1084809,2042816,365897,1939491,237848,88111030,18861911,13406479,177763,8298180,161472,101805607,15189788,32423,4286357,20033374,9826,419565,4006508,3493554,4445889,22491912,124961767,38370697,2489234,9927680,3886602,16025,1051003,463511,7712022,47678,32892,22797027,67977755,3585176,148444313,7298571,17060750,6355,41543,72501,40091067,7759247,6782,1999210,4246282,24069,3256010,6116213,39552425,140992,22780376,8718867,13311647,7000610,5502,1263500,56683404,5500029,12798,96711,3972812,120905,8514476,788560,58731174,9505,20687201,3830233,26240313,144898,17735302,57735940,51867280,256514224,8934969,3111431,21609643,108224,20246059,16988,69979722,105711,1552502,13698,234398,164799,959023,13367997,8035054,10720252
1993,74066,66331,2184199,17003437,27154754,7839115,3066285,3231570,62559,10329977,51382,34407154,17607798,7988599,9248,552642,265699,1389350,59241,10085426,257656,117620669,206093,3816556,7054343,42437423,5250360,10250139,352836,156963840,576693,8441872,273107,5685429,28953336,10624234,6379099,17448705,2488937,43290020,1190761826,13722358,30006,12920473,461184,35205604,51937,3256528,3367026,10743807,366241,18507,809760,5188386,534434,70419,7494284,10753682,57384304,3578349,403044,1491426,3228367,5334151,52525039,10326434,5064846,759328,117588,46085,210318,59268430,1076885,1013159,5247618,16637953,27219,95758,61201,55637,81132272,143825,10382995,9522882,6989107,766897,2219235,7232839,5934511,5232622,4486066,10330031,261270,191081420,71104,886743707,63099661,4997772,57086549,13860566,18411478,124738157,84592,2406849,3987074,25844500,4582706,21562954,74670,44307038,1488038,1964945,16902393,4581218,3585391,2565708,3689004,1952628,5323577,30186,1790788,398084,4414050,12736607,384404,4380766,2359688,10406,10495111,635875,1917563,9111996,30531,25292640,1098641,2119242,370008,2014566,246910,89749141,19338220,13880649,182460,8554483,165198,104438333,15291077,32258,4311964,20641366,9823,421004,4156381,3536637,4570988,22963040,127562732,38467746,2538364,9967832,3993245,16448,1084455,478960,7706118,48406,33238,22765757,69416966,3615497,148488770,7596681,17636361,6384,42063,73318,40940611,7961004,6836,1999926,4099669,24353,3360250,6101016,39637696,142793,23565247,8769284,13685179,7064021,5722,1265120,57422072,5546629,13485,96947,3952577,122854,8666190,814060,59800534,9564,20886065,3917964,27114589,143777,18404136,57854243,51884227,259918588,9237704,3123830,22127596,108536,20691445,17686,71285149,106577,1595138,13807,243299,166119,988716,13885756,8252521,10976373
1994,77853,67485,2319182,18486041,27758508,7952142,3111162,3126094,63826,10658469,52733,34846891,17781089,8027540,9541,567501,266630,1433688,59746,10122914,261513,119515090,211546,3634965,7214813,43217591,5488151,10238044,363851,159448367,574720,8353335,280501,5749682,29330810,10974244,6496685,17708824,2570292,44820303,1203801744,13952144,31299,13264167,471836,35887620,54613,3351198,3465853,10797949,375918,18417,829209,5205603,546892,70922,7624133,11012554,58156954,3595542,414443,1467535,3379691,5395198,54030146,10330165,5086044,765923,105444,44504,213680,59548134,1119592,1040811,5120809,17022080,26777,96750,61113,55923,81414164,143157,10429826,9779108,7209485,767652,2349776,7399692,6067288,5389808,4511187,10296552,266075,194301847,71692,903579294,63460369,5174857,57198073,14379919,18976086,125046546,84753,2436435,4084730,26487165,4575291,21851587,75609,44718897,1575330,1997028,16663072,4711829,3620711,2523532,3679636,1917525,5345264,30574,1819497,403756,4517088,13128410,392941,4371945,2400648,10336,10320449,653213,1935034,9331700,30716,25723174,1111297,2183335,373606,2076785,253376,91337896,19835020,14940225,187446,8822062,168862,107115745,15398925,32093,4336638,21246735,9824,423065,4289361,3586304,4697579,23423635,130746253,38548296,2587713,10027688,4103096,16866,1116514,494452,7700799,49054,33098,22733020,70944552,3649237,148621859,6505533,18202417,6401,42609,74133,41661556,8166145,6890,2001036,3977955,24625,3464148,6264440,39707884,144635,24036332,8831493,14061430,7120988,5935,1265247,58153611,5604488,14199,97178,3981991,124921,8811664,840374,60867087,9644,21093246,4003901,28159908,142734,19090249,58005687,51635550,263125821,9570647,3137031,22603815,108691,21126041,18383,72559537,107317,1638327,13913,252440,167483,994916,14394750,8471277,11086482
1995,79962,68710,2457980,19445013,28321697,8050585,3158154,3068751,63245,10999585,53906,35273844,17975634,8047433,9845,582068,267667,1477591,60294,10155459,265181,121442312,217167,3546649,7374871,43993977,5646826,10204923,375074,161911449,566313,8255811,287990,6164953,29690529,11234143,6769686,17941066,2649999,46704580,1216378444,14172533,32490,13603162,482682,36531834,57229,3444736,3544408,10847477,385425,18309,847345,5232612,553027,71421,7758971,11265611,58945029,3613890,426231,1446509,3565003,5479829,55725462,10323830,5104654,772517,105982,43537,216844,59823035,1161456,1069065,5012952,17321469,26766,97743,60977,56185,81653702,144190,10457554,10027820,7445695,769156,2507176,7570398,6225347,5550793,4496683,10280807,267527,197603427,72326,920584971,64217268,5352901,57294513,14845795,19563608,125327055,84993,2469066,4176432,27163001,4620023,22107253,76540,45105079,1664348,2028599,16389860,4846116,3653899,2488008,3673577,1900276,5361594,30886,1847573,409704,4583908,13532361,401295,4355074,2447042,10268,10264048,670608,1954048,9488324,30910,26147598,1123115,2234790,376893,2138569,260584,92880353,20339029,15888208,191780,9110284,172454,109833321,15476372,31928,4359101,21876669,9821,427744,4401893,3642182,4825564,23863296,134185366,38600642,2638173,10065543,4215889,17302,1143328,509712,7691299,49639,32712,22687407,72597432,3683103,148758039,5472977,18755041,6404,43132,74931,42227921,8378056,6946,2002827,3881436,24883,3566684,6400722,39764708,146496,24516834,8877890,14448565,7164212,6145,1264315,58882759,5678225,14940,97397,4202905,127140,8946547,867485,61940150,9746,21290414,4078729,29064552,141586,19640269,58186804,51244835,266278393,9902779,3150038,23067326,108792,21549001,19059,73783390,107817,1681478,14017,263874,168887,1003635,14861560,8690098,11159492
1996,83070,70055,2599579,20110508,28837598,8138330,3203599,3063395,63358,11337007,54959,35682960,18195852,8060852,10138,596466,268810,1520912,60871,10178934,268881,123432517,222972,3559086,7534395,44726706,5820226,10170664,386494,164369473,565330,8161026,295573,6203734,30026324,11484578,7051000,18150801,2731246,47684709,1227882189,14383328,33681,13944736,493950,37097908,59822,3536004,3621608,10890847,394798,18180,864299,5262075,568430,70996,7898976,11526481,59757823,3636179,438420,1427827,3733059,5564105,57424029,10311817,5120310,778890,106462,43590,219860,60094948,1202416,1097708,4934572,17617186,26777,98654,60978,56336,81890667,145324,10479420,10267947,7701569,768886,2672404,7740665,6391564,5712837,4464030,10259301,269000,200984463,72936,937725479,65115779,5514519,57406046,15281453,20167968,125616709,85348,2501252,4281659,27836550,4685470,22323574,77899,45467969,1740735,2058998,16236550,4947629,3685043,2460277,3668316,1932227,5373190,31146,1869054,415566,4613639,13948484,410395,4333973,2494853,7947,10526810,683946,1971102,9664874,31113,26563574,1135344,2270682,379962,2199657,270531,94398579,20856695,16383412,195528,9414292,175991,112587620,15545307,31766,4381277,22502569,9830,433180,4502776,3697014,4954835,24286416,137911171,38629842,2689792,10099918,4331067,17788,1166256,524833,7707798,50194,32102,22622471,74335818,3724655,148596840,6546456,19293360,6409,43582,75714,42793959,8594914,7003,2007429,3810500,25287,3668466,6574263,39820561,148172,25006941,8892234,14843695,7188778,6351,1262458,59587956,5764362,15719,97598,4402067,129534,9072993,895464,63017799,9843,21457706,4142668,29674398,140340,20197441,58344567,50810048,269394284,10220180,3164141,23523857,108768,21960757,19740,74946552,108093,1724320,14118,277669,170330,1032455,15325716,8915420,11316947
1997,86206,71453,2746332,20769357,29318183,8223513,3225414,3059000,64053,11670042,55967,36102160,18415263,8069876,10438,610845,270062,1563190,61450,10199787,272561,125505819,228954,3590693,7695149,45426168,6006230,10128530,398091,166840211,574838,8066057,303110,6243635,30305602,11721710,7261713,18367446,2802469,48288928,1238125664,14591015,34871,14290128,505845,37619943,62388,3625320,3707380,10928837,404001,17872,879853,5283663,592487,70284,8039937,11792472,61071908,3681226,451026,1413351,3841583,5636808,59076269,10300707,5134406,785608,106879,44048,223394,60365735,1242460,1126940,4883476,17927437,26746,99568,61173,56508,82011073,146799,10502372,10496123,7791058,768411,2833801,7909680,6495918,5875031,4444595,10229552,271192,204258115,73580,954926046,66041885,5660093,57492895,15686232,20781246,125924562,85854,2531182,4385247,28513632,4750460,22443282,79694,45807825,1801731,2086410,16052382,5054901,3714287,2435967,3664372,2097451,5383010,31325,1883539,421014,4685156,14376599,416985,4304362,2539223,5950,10838838,692651,1984860,9924608,31316,26968723,1148350,2315223,382953,2259725,275714,95895146,21407153,16811392,199383,9716696,179491,115377487,15622141,31594,4405672,23109342,9868,439683,4598209,3738420,5081156,24692146,141445497,38654957,2743684,10156415,4448371,18299,1194113,547599,7693798,50829,31304,22557739,76057058,3759430,148373548,7647419,19818379,6418,44066,76405,43353632,8809850,7061,2011612,3765211,25735,3769760,6751083,39907236,149715,25506846,8897619,15244450,7202163,6552,1260150,60247589,5864687,16542,98046,4572447,132090,9193130,924395,64097691,9917,21638532,4200612,30376572,139073,20813102,58494073,50367452,272646925,10542567,3180923,23952217,108607,22361798,20443,76052857,108355,1766142,14250,291835,171806,1061056,15815705,9169242,11469387
1998,88204,72781,2898504,21451549,29768857,8308674,3212771,3049147,64728,12013296,56930,36517919,18620837,8078622,10754,625214,271294,1604007,61981,10217030,275992,127660128,235126,3622227,7858896,46110824,6202318,10091728,409841,169322084,585274,7971774,310525,6417426,30551660,11944465,7479317,18569803,2879995,49348728,1247502219,14794081,36060,14637981,518339,38132591,64889,3713735,3797957,10973762,412972,17381,893734,5302767,620884,70041,8182207,12050626,62411719,3728010,464060,1400972,3963110,5711571,60764879,10290949,5146983,792693,107226,44560,227451,60643715,1281565,1157171,4848495,18261420,26752,100385,61419,56613,82023672,149724,10520068,10708144,7906607,772603,2924520,8080556,6544564,6039095,4420195,10200404,274000,207471653,74311,972112809,66953736,5808725,57567021,16045358,21402713,126236616,86400,2560432,4485217,29188217,4816674,22482801,81528,46151512,1859847,1966249,15840791,5167653,3741821,2413173,3661168,2349511,5390236,31749,1896603,426495,4798780,14816581,421609,4266196,2581518,3381,11155335,701246,1995474,10178507,31501,27361050,1160659,2374103,385608,2318607,281184,97325063,21977233,17219552,203244,10035645,182944,118203366,15717093,31372,4432718,23700285,9885,447429,4688840,3764312,5200184,25078825,144885289,38668756,2797225,10224828,4567798,18772,1222239,578199,7675298,51555,30358,22511376,77740547,3781101,148154792,8041839,20329087,6424,44607,77174,43961924,9037144,7118,2010807,3745727,26159,3868483,6991663,40046103,151022,26016745,8902684,15649853,7217045,6748,1257636,60879850,5983489,17419,98749,4715170,134801,9304137,954332,65177181,9975,21834438,4262264,31263565,137576,21461307,58680368,49937196,275854104,10872709,3195923,24342332,108404,22751362,21132,77107502,108535,1806532,14365,306348,173305,1089403,16327199,9428653,11606924
1999,89259,74016,3056080,22205667,30204849,8388447,3187329,3047620,65073,12357509,57847,36923417,18830251,8094156,11079,639964,272504,1642943,62509,10235655,279305,129879060,241480,3717232,8025555,46781677,6406766,10063643,421716,171814744,595628,7893227,317901,6631143,30820257,12154664,7708743,18792874,2972317,50889947,1255992499,14990469,37248,14988502,531430,38563857,67302,3800169,3889215,11025940,421678,16859,906875,5320134,646263,70348,8325197,12268309,63773469,3774856,477538,1389756,4079574,5788365,62538426,10280436,5158097,799078,107501,45115,231571,60935252,1319628,1195647,4815667,18611539,26756,100985,61701,56696,82074778,152590,10536749,10903423,8154403,780053,3016649,8249712,6599307,6190879,4408383,10171610,277280,210746403,75035,989250189,67803934,5960294,57655529,16456878,22035597,126512858,86928,2588866,4584828,29874295,4883113,22594314,83344,46485422,1916332,1762334,15709484,5285813,3767533,2393657,3658454,2495395,5395739,32315,1907672,432527,4912162,15263710,427773,4224863,2623049,3378,11476850,720412,2004985,10475943,31674,27741989,1173129,2436909,387799,2376176,291480,98616905,22553411,17605244,207179,10372564,186341,121126285,15819914,31095,4463377,24269874,9874,455740,4777854,3783756,5311544,25444838,148379201,38665539,2847789,10283381,4689319,19204,1250409,608957,7677153,52295,29305,22476289,79448134,3800081,147698905,8222350,20824550,6427,45131,78137,44526272,9252822,7175,2009653,3735565,26595,3965084,7241658,40251435,152114,26536837,8909790,16058941,7242498,6938,1254627,61431988,6110862,18342,99442,4852448,137666,9407372,933968,66253997,10014,22007811,4324693,32187241,135839,22190623,58909682,49485063,279040168,11225306,3207949,24701545,108118,23128638,21811,78141672,108596,1846699,14518,321175,174755,1117139,16859090,9692594,11733078
2000,89995,75351,3219297,22461349,30638018,8463076,3158352,3042556,65099,12682502,57771,37335653,19053186,8113413,11426,654861,273680,1679680,63061,10263618,282591,132150767,248004,3805512,8195101,47438868,6619120,10033392,433730,174315386,605872,7818495,325297,6822700,31099561,12351152,7942675,19041167,3103941,52445195,1263637531,15174571,38436,15343036,545143,38910346,69706,3882581,3979862,11071849,430132,16307,919680,5337416,669416,70818,8468914,12445838,65158549,3822196,491483,1379835,4197310,5849822,64365225,10270128,5168595,804933,107724,45794,235868,61255363,1356581,1236429,4777209,18981004,27274,101609,61949,56890,82183670,155324,10559110,11085025,8350413,785564,3110085,8412886,6658720,6359396,4410830,10147425,281043,214090575,75703,1006300297,68631554,6114570,57784373,16884578,22679080,126775612,87379,2615632,4687620,30605901,4937128,22784969,85121,46838842,1972259,1700132,15687251,5397406,3791495,2376178,3654387,2600668,5400320,32748,1916324,438777,5024753,15712415,431739,4180215,2663757,3951,11801505,732302,2014512,10787657,31856,28113036,1185932,2500867,389947,2432376,299981,99926620,23151284,17996793,211189,10725320,191378,124207291,15930181,30784,4492400,24818162,9861,464036,4866172,3802400,5418241,25796957,152429036,38654164,2899513,10335597,4812791,19492,1278859,639905,7604335,53072,28384,22447353,81222082,3810605,147053966,8398413,21311904,6409,45658,79158,45064098,9469281,7230,2010557,3809058,27079,4063333,7500558,40589004,153302,27067325,8923569,16471243,7277250,7122,1251775,61904273,6229697,19271,100125,4991834,140687,9507986,767082,67329299,10037,22184552,4385485,33193297,133956,22916079,59139969,49005222,282162411,11587750,3219793,25041821,107861,23492753,22509,79177981,108639,1893442,14666,336295,176209,1143927,17407262,9983878,11820025
2001,90971,76734,3387327,22507460,31077277,8532310,3128002,3027590,65316,12997970,57609,37694169,19294257,8131690,11774,672086,274906,1714009,63606,10291679,285685,134477534,254639,3822357,8367448,48081055,6839006,9999484,445906,176789957,615980,7738416,332654,7043021,31376736,12539614,8179408,19263057,3239986,54057719,1270744232,15347732,39621,15706855,559494,39312450,72079,3956208,4053927,11103821,438454,15725,932632,5355826,692990,71208,8613550,12629117,66574083,3872700,505919,1369983,4337991,5883698,66230452,10262308,5180309,810728,107905,46590,240098,61605930,1393296,1269154,4746164,19366666,28018,102294,62168,57128,82320660,156337,10581515,11284350,8416924,786261,3204752,8568578,6713376,6526981,4439110,10129929,284812,217197016,76422,1023295084,69531531,6251342,57931053,17310968,23334733,127108598,87731,2640514,4793350,31423090,4976833,22977355,86759,47177811,2027734,1720532,15736939,5498518,3814110,2358232,3645747,2679794,5404681,33312,1922344,444779,5135952,16168611,434778,4135094,2704470,4239,12128668,726462,2023912,11111580,31843,28477475,1197878,2565791,391873,2487301,305913,101246961,23737357,18395785,215277,11099193,196510,127450700,16046805,30453,4515195,25335614,9890,471851,4952226,3837878,5523401,26142281,156795444,38643641,2952285,10386753,4937454,19662,1306455,671438,7548376,54007,27782,22415499,83095279,3818774,146334163,8610984,21796085,6372,46188,80173,45576215,9716196,7283,2011179,4043412,27615,4169481,7765774,41046894,154400,27608419,8939915,16885070,7312215,7285,1249053,62380072,6339104,20215,100796,5134565,143853,9609570,838610,68404901,10045,22341406,4444584,34190566,131963,23637605,59374727,48507924,284968955,12039362,3231191,25372377,107605,23843874,23203,80209475,108386,1935098,14764,351692,177786,1169520,17970541,10284605,11867855
